year,fuel consumption
2025,633.64
2026,652.9
2027,672.37
2028,692.02
2029,711.85
2030,731.83
2031,752.56
2032,773.38
2033,794.28
2034,815.23
2035,836.2
2036,856.7
2037,876.96
2038,896.91
2039,916.54
2040,935.79
2041,954.64
2042,972.96
2043,990.7
2044,1007.84
2045,1024.31
2046,1038.93
2047,1053.25
2048,1067.24
2049,1080.89
2050,1094.17
2051,1113.09
2052,1125.51
2053,1137.98
2054,1150.5
2055,1163.05
2056,1175.65
2057,1188.29
2058,1200.96
2059,1213.67
2060,1226.41
2061,1239.19
2062,1251.99
2063,1264.83
2064,1277.69
2065,1290.58
2066,1303.49
2067,1316.42
2068,1329.37
2069,1342.34
2070,1355.33
2071,1368.32
2072,1381.33
2073,1394.35
2074,1407.38
2075,1420.41
2076,1433.56
2077,1446.72
2078,1459.87
2079,1473.03
2080,1486.18
2081,1499.33
2082,1512.47
2083,1525.6
2084,1538.71
2085,1551.82
2086,1564.9
2087,1577.97
2088,1591.01
2089,1604.03
2090,1617.03
2091,1630
2092,1642.93
2093,1655.83
2094,1668.7
2095,1681.53
2096,1694.32
2097,1707.06
2098,1719.76
2099,1732.41
2100,1745.01
