year,fuel consumption
2025,585.47
2026,597.67
2027,609.84
2028,621.97
2029,634.03
2030,646.03
2031,658.47
2032,670.79
2033,682.97
2034,695
2035,706.86
2036,718.14
2037,729.04
2038,739.54
2039,749.62
2040,759.25
2041,768.43
2042,777.06
2043,785.13
2044,792.62
2045,799.51
2046,804.89
2047,809.99
2048,814.79
2049,819.3
2050,823.5
2051,831.89
2052,835.38
2053,838.89
2054,842.43
2055,845.99
2056,849.57
2057,853.18
2058,856.81
2059,860.47
2060,864.15
2061,867.85
2062,871.58
2063,875.33
2064,879.11
2065,882.92
2066,886.75
2067,890.6
2068,894.49
2069,898.39
2070,902.33
2071,906.29
2072,910.27
2073,914.28
2074,918.32
2075,922.39
2076,926.56
2077,930.76
2078,934.99
2079,939.24
2080,943.52
2081,947.84
2082,952.18
2083,956.55
2084,960.95
2085,965.38
2086,969.84
2087,974.33
2088,978.85
2089,983.4
2090,987.98
2091,992.6
2092,997.24
2093,1001.92
2094,1006.62
2095,1011.36
2096,1016.13
2097,1020.94
2098,1025.77
2099,1030.64
2100,1035.54
