year,fuel consumption
2025,2.82
2026,2.82
2027,2.82
2028,2.82
2029,2.82
2030,2.82
2031,2.82
2032,2.82
2033,2.82
2034,2.82
2035,2.82
2036,2.82
2037,2.82
2038,2.82
2039,2.82
2040,2.82
2041,2.82
2042,2.82
2043,2.82
2044,2.82
2045,2.82
2046,2.82
2047,2.82
2048,2.82
2049,2.82
2050,2.82
2051,2.82
2052,2.82
2053,2.82
2054,2.82
2055,2.82
2056,2.82
2057,2.82
2058,2.82
2059,2.82
2060,2.82
2061,2.82
2062,2.82
2063,2.82
2064,2.82
2065,2.82
2066,2.82
2067,2.82
2068,2.82
2069,2.82
2070,2.82
2071,2.82
2072,2.82
2073,2.82
2074,2.82
2075,2.82
2076,2.82
2077,2.82
2078,2.82
2079,2.82
2080,2.82
2081,2.82
2082,2.82
2083,2.82
2084,2.82
2085,2.82
2086,2.82
2087,2.82
2088,2.82
2089,2.82
2090,2.82
2091,2.82
2092,2.82
2093,2.82
2094,2.82
2095,2.82
2096,2.82
2097,2.82
2098,2.82
2099,2.82
2100,2.82
