year,fuel consumption
2025,759.25
2026,759.25
2027,759.25
2028,759.25
2029,759.25
2030,759.25
2031,759.25
2032,759.25
2033,759.25
2034,759.25
2035,759.25
2036,759.25
2037,759.25
2038,759.25
2039,759.25
2040,759.25
2041,759.25
2042,759.25
2043,759.25
2044,759.25
2045,759.25
2046,759.25
2047,759.25
2048,759.25
2049,759.25
2050,759.25
2051,759.25
2052,759.25
2053,759.25
2054,759.25
2055,759.25
2056,759.25
2057,759.25
2058,759.25
2059,759.25
2060,759.25
2061,759.25
2062,759.25
2063,759.25
2064,759.25
2065,759.25
2066,759.25
2067,759.25
2068,759.25
2069,759.25
2070,759.25
2071,759.25
2072,759.25
2073,759.25
2074,759.25
2075,759.25
2076,759.25
2077,759.25
2078,759.25
2079,759.25
2080,759.25
2081,759.25
2082,759.25
2083,759.25
2084,759.25
2085,759.25
2086,759.25
2087,759.25
2088,759.25
2089,759.25
2090,759.25
2091,759.25
2092,759.25
2093,759.25
2094,759.25
2095,759.25
2096,759.25
2097,759.25
2098,759.25
2099,759.25
2100,759.25
