year,fuel consumption
2025,28.2
2026,28.2
2027,28.2
2028,28.2
2029,28.2
2030,28.2
2031,28.2
2032,28.2
2033,28.2
2034,28.2
2035,28.2
2036,28.2
2037,28.2
2038,28.2
2039,28.2
2040,28.2
2041,28.2
2042,28.2
2043,28.2
2044,28.2
2045,28.2
2046,28.2
2047,28.2
2048,28.2
2049,28.2
2050,28.2
2051,28.2
2052,28.2
2053,28.2
2054,28.2
2055,28.2
2056,28.2
2057,28.2
2058,28.2
2059,28.2
2060,28.2
2061,28.2
2062,28.2
2063,28.2
2064,28.2
2065,28.2
2066,28.2
2067,28.2
2068,28.2
2069,28.2
2070,28.2
2071,28.2
2072,28.2
2073,28.2
2074,28.2
2075,28.2
2076,28.2
2077,28.2
2078,28.2
2079,28.2
2080,28.2
2081,28.2
2082,28.2
2083,28.2
2084,28.2
2085,28.2
2086,28.2
2087,28.2
2088,28.2
2089,28.2
2090,28.2
2091,28.2
2092,28.2
2093,28.2
2094,28.2
2095,28.2
2096,28.2
2097,28.2
2098,28.2
2099,28.2
2100,28.2
